campaign,channel,device,region,ad_format,revenue,cv
Summer Sale,Facebook,Mobile,US,Video,15000,120
Summer Sale,Facebook,Desktop,US,Video,12000,80
Summer Sale,Facebook,Mobile,EU,Video,8000,95
Summer Sale,Facebook,Desktop,EU,Video,6500,55
Summer Sale,Google,Mobile,US,Search,22000,180
Summer Sale,Google,Desktop,US,Search,18000,140
Summer Sale,Google,Mobile,EU,Search,14000,130
Summer Sale,Google,Desktop,EU,Search,11000,90
Summer Sale,TikTok,Mobile,US,Video,9500,150
Summer Sale,TikTok,Mobile,EU,Video,7200,110
Winter Promo,Facebook,Mobile,US,Video,18000,100
Winter Promo,Facebook,Desktop,US,Video,14500,75
Winter Promo,Facebook,Mobile,EU,Video,10000,85
Winter Promo,Facebook,Desktop,EU,Video,7800,50
Winter Promo,Google,Mobile,US,Search,28000,160
Winter Promo,Google,Desktop,US,Search,24000,130
Winter Promo,Google,Mobile,EU,Search,16000,120
Winter Promo,Google,Desktop,EU,Search,13500,95
Winter Promo,TikTok,Mobile,US,Video,11000,130
Winter Promo,TikTok,Mobile,EU,Video,8500,100
Black Friday,Facebook,Mobile,US,Carousel,25000,200
Black Friday,Facebook,Desktop,US,Carousel,20000,150
Black Friday,Facebook,Mobile,EU,Carousel,15000,160
Black Friday,Facebook,Desktop,EU,Carousel,12000,110
Black Friday,Google,Mobile,US,Shopping,45000,280
Black Friday,Google,Desktop,US,Shopping,38000,220
Black Friday,Google,Mobile,EU,Shopping,30000,240
Black Friday,Google,Desktop,EU,Shopping,25000,180
Black Friday,TikTok,Mobile,US,Video,18000,220
Black Friday,TikTok,Mobile,EU,Video,14000,180
New Year,Facebook,Mobile,US,Video,16000,110
New Year,Facebook,Desktop,US,Video,13000,85
New Year,Facebook,Mobile,EU,Video,9500,90
New Year,Facebook,Desktop,EU,Video,7200,60
New Year,Google,Mobile,US,Search,26000,170
New Year,Google,Desktop,US,Search,21000,145
New Year,Google,Mobile,EU,Search,17000,140
New Year,Google,Desktop,EU,Search,14000,110
New Year,TikTok,Mobile,US,Video,12000,145
New Year,TikTok,Mobile,EU,Video,9000,115
Spring Launch,Facebook,Mobile,US,Stories,13000,95
Spring Launch,Facebook,Desktop,US,Stories,10500,70
Spring Launch,Facebook,Mobile,EU,Stories,8000,80
Spring Launch,Facebook,Desktop,EU,Stories,6000,50
Spring Launch,Google,Mobile,US,Display,19000,125
Spring Launch,Google,Desktop,US,Display,15500,100
Spring Launch,Google,Mobile,EU,Display,12500,105
Spring Launch,Google,Desktop,EU,Display,10000,80
Spring Launch,TikTok,Mobile,US,Video,10000,120
Spring Launch,TikTok,Mobile,EU,Video,7500,95
